Body,Antenna,Eyes,Mouth,Tail,Arms,Legs,Category,Phase,Type,Context,Context_Answer
,,,,,,,,Instruct,,,
,,,,,,,,Instruct,,,
1,1,1,1,3,1,3,C,Study,,basketball_4.jpg,Basketball
1,2,1,1,1,2,1,A,Study,,volcano_4.jpg,Volcano
1,1,1,1,4,1,4,D,Study,,castle_2.jpg,Castle
1,4,1,1,2,4,2,B,Study,,desert_3.jpg,Desert
1,1,1,1,3,1,3,C,Study,,basketball_4.jpg,Basketball
1,2,1,1,1,2,1,A,Study,,volcano_4.jpg,Volcano
1,4,1,1,2,4,2,B,Study,,desert_3.jpg,Desert
1,1,1,1,4,1,4,D,Study,,castle_2.jpg,Castle
1,1,1,1,3,1,3,C,Study,,basketball_4.jpg,Basketball
1,2,1,1,1,2,1,A,Study,,volcano_4.jpg,Volcano
1,1,1,1,4,1,4,D,Study,,castle_2.jpg,Castle
1,4,1,1,2,4,2,B,Study,,desert_3.jpg,Desert
1,2,1,1,1,2,1,A,Study,,volcano_4.jpg,Volcano
1,1,1,1,3,1,3,C,Study,,basketball_4.jpg,Basketball
1,1,1,1,4,1,4,D,Study,,castle_2.jpg,Castle
1,4,1,1,2,4,2,B,Study,,desert_3.jpg,Desert
1,1,1,1,3,1,3,C,Study,,basketball_4.jpg,Basketball
1,1,1,1,4,1,4,D,Study,,castle_2.jpg,Castle
1,4,1,1,2,4,2,B,Study,,desert_3.jpg,Desert
1,2,1,1,1,2,1,A,Study,,volcano_4.jpg,Volcano
1,2,1,1,4,2,4,D,Study,,castle_4.jpg,Castle
1,3,1,1,3,3,3,C,Study,,basketball_3.jpg,Basketball
1,2,1,1,2,2,2,B,Study,,desert_1.jpg,Desert
1,3,1,1,1,3,1,A,Study,,volcano_3.jpg,Volcano
1,2,1,1,4,2,4,D,Study,,castle_4.jpg,Castle
1,3,1,1,3,3,3,C,Study,,basketball_3.jpg,Basketball
1,3,1,1,1,3,1,A,Study,,volcano_3.jpg,Volcano
1,2,1,1,2,2,2,B,Study,,desert_1.jpg,Desert
1,3,1,1,3,3,3,C,Study,,basketball_3.jpg,Basketball
1,2,1,1,2,2,2,B,Study,,desert_1.jpg,Desert
1,2,1,1,4,2,4,D,Study,,castle_4.jpg,Castle
1,3,1,1,1,3,1,A,Study,,volcano_3.jpg,Volcano
1,3,1,1,3,3,3,C,Study,,basketball_3.jpg,Basketball
1,3,1,1,1,3,1,A,Study,,volcano_3.jpg,Volcano
1,2,1,1,2,2,2,B,Study,,desert_1.jpg,Desert
1,2,1,1,4,2,4,D,Study,,castle_4.jpg,Castle
1,2,1,1,2,2,2,B,Study,,desert_1.jpg,Desert
1,3,1,1,1,3,1,A,Study,,volcano_3.jpg,Volcano
